LLP with Faststep
communities-0.txt communities-100000div.txt: 0.150484
communities-0.txt communities-10000div.txt: 0.329251
communities-0.txt communities-1000div.txt: 0.565747
communities-0.txt communities-100div.txt: 0.710221
communities-0.txt communities-10div.txt: 0.844066
communities-0.txt communities-200000div.txt: 0.0986121
communities-0.txt communities-20000div.txt: 0.26671
communities-0.txt communities-2000div.txt: 0.511094
communities-0.txt communities-200div.txt: 0.665322
communities-0.txt communities-20div.txt: 0.797745
communities-0.txt communities-500000div.txt: 0.0493909
communities-0.txt communities-50000div.txt: 0.206559
communities-0.txt communities-5000div.txt: 0.391938
communities-0.txt communities-500div.txt: 0.615966
communities-0.txt communities-50div.txt: 0.751931
communities-0.txt communities-5div.txt: 0.863544
communities-1.txt communities-100000div.txt: 0.166441
communities-1.txt communities-10000div.txt: 0.360056
communities-1.txt communities-1000div.txt: 0.593486
communities-1.txt communities-100div.txt: 0.733059
communities-1.txt communities-10div.txt: 0.862485
communities-1.txt communities-200000div.txt: 0.1071
communities-1.txt communities-20000div.txt: 0.294846
communities-1.txt communities-2000div.txt: 0.540469
communities-1.txt communities-200div.txt: 0.689705
communities-1.txt communities-20div.txt: 0.817652
communities-1.txt communities-500000div.txt: 0.052197
communities-1.txt communities-50000div.txt: 0.22956
communities-1.txt communities-5000div.txt: 0.423348
communities-1.txt communities-500div.txt: 0.642038
communities-1.txt communities-50div.txt: 0.773357
communities-1.txt communities-5div.txt: 0.881355
communities-10.txt communities-100000div.txt: 0.195718
communities-10.txt communities-10000div.txt: 0.403537
communities-10.txt communities-1000div.txt: 0.630165
communities-10.txt communities-100div.txt: 0.76321
communities-10.txt communities-10div.txt: 0.886884
communities-10.txt communities-200000div.txt: 0.125996
communities-10.txt communities-20000div.txt: 0.336771
communities-10.txt communities-2000div.txt: 0.579503
communities-10.txt communities-200div.txt: 0.721877
communities-10.txt communities-20div.txt: 0.843984
communities-10.txt communities-500000div.txt: 0.0605844
communities-10.txt communities-50000div.txt: 0.266877
communities-10.txt communities-5000div.txt: 0.466295
communities-10.txt communities-500div.txt: 0.676448
communities-10.txt communities-50div.txt: 0.801663
communities-10.txt communities-5div.txt: 0.904961
communities-11.txt communities-100000div.txt: 0.208619
communities-11.txt communities-10000div.txt: 0.417989
communities-11.txt communities-1000div.txt: 0.641434
communities-11.txt communities-100div.txt: 0.772442
communities-11.txt communities-10div.txt: 0.894371
communities-11.txt communities-200000div.txt: 0.135549
communities-11.txt communities-20000div.txt: 0.351602
communities-11.txt communities-2000div.txt: 0.591564
communities-11.txt communities-200div.txt: 0.73173
communities-11.txt communities-20div.txt: 0.852057
communities-11.txt communities-500000div.txt: 0.0654294
communities-11.txt communities-50000div.txt: 0.28141
communities-11.txt communities-5000div.txt: 0.480018
communities-11.txt communities-500div.txt: 0.686994
communities-11.txt communities-50div.txt: 0.810334
communities-11.txt communities-5div.txt: 0.912207
communities-2.txt communities-100000div.txt: 0.166442
communities-2.txt communities-10000div.txt: 0.359958
communities-2.txt communities-1000div.txt: 0.593438
communities-2.txt communities-100div.txt: 0.733018
communities-2.txt communities-10div.txt: 0.862453
communities-2.txt communities-200000div.txt: 0.107096
communities-2.txt communities-20000div.txt: 0.294757
communities-2.txt communities-2000div.txt: 0.540414
communities-2.txt communities-200div.txt: 0.689657
communities-2.txt communities-20div.txt: 0.817617
communities-2.txt communities-500000div.txt: 0.052167
communities-2.txt communities-50000div.txt: 0.229519
communities-2.txt communities-5000div.txt: 0.423281
communities-2.txt communities-500div.txt: 0.641988
communities-2.txt communities-50div.txt: 0.773318
communities-2.txt communities-5div.txt: 0.881323
communities-3.txt communities-100000div.txt: 0.166364
communities-3.txt communities-10000div.txt: 0.359956
communities-3.txt communities-1000div.txt: 0.593488
communities-3.txt communities-100div.txt: 0.733064
