LLP with Faststep
communities-0.txt communities-100000div.txt: 1.79842e-05
communities-0.txt communities-10000div.txt: 4.05309e-05
communities-0.txt communities-1000div.txt: 4.38599e-05
communities-0.txt communities-100div.txt: 4.7449e-05
communities-0.txt communities-10div.txt: 5.60943e-05
communities-0.txt communities-200000div.txt: 1.79842e-05
communities-0.txt communities-20000div.txt: 4.05309e-05
communities-0.txt communities-2000div.txt: 4.38599e-05
communities-0.txt communities-200div.txt: 4.38599e-05
communities-0.txt communities-20div.txt: 5.56411e-05
communities-0.txt communities-500000div.txt: 1.79842e-05
communities-0.txt communities-50000div.txt: 1.79842e-05
communities-0.txt communities-5000div.txt: 4.05309e-05
communities-0.txt communities-500div.txt: 4.38599e-05
communities-0.txt communities-50div.txt: 4.7449e-05
communities-1.txt communities-100000div.txt: 1.76381e-05
communities-1.txt communities-10000div.txt: 3.84601e-05
communities-1.txt communities-1000div.txt: 4.31876e-05
communities-1.txt communities-100div.txt: 4.65098e-05
communities-1.txt communities-10div.txt: 5.41818e-05
communities-1.txt communities-200000div.txt: 1.76381e-05
communities-1.txt communities-20000div.txt: 3.84601e-05
communities-1.txt communities-2000div.txt: 4.31876e-05
communities-1.txt communities-200div.txt: 4.31876e-05
communities-1.txt communities-20div.txt: 5.36549e-05
communities-1.txt communities-500000div.txt: 1.76381e-05
communities-1.txt communities-50000div.txt: 1.76381e-05
communities-1.txt communities-5000div.txt: 3.84601e-05
communities-1.txt communities-500div.txt: 4.31876e-05
communities-1.txt communities-50div.txt: 4.65098e-05
communities-10.txt communities-100000div.txt: 1.2441e-05
communities-10.txt communities-10000div.txt: 2.57774e-05
communities-10.txt communities-1000div.txt: 2.96319e-05
communities-10.txt communities-100div.txt: 3.16485e-05
communities-10.txt communities-10div.txt: 3.7208e-05
communities-10.txt communities-200000div.txt: 1.2441e-05
communities-10.txt communities-20000div.txt: 2.57774e-05
communities-10.txt communities-2000div.txt: 2.96319e-05
communities-10.txt communities-200div.txt: 2.96319e-05
communities-10.txt communities-20div.txt: 3.68584e-05
communities-10.txt communities-500000div.txt: 1.2441e-05
communities-10.txt communities-50000div.txt: 1.2441e-05
communities-10.txt communities-5000div.txt: 2.57774e-05
communities-10.txt communities-500div.txt: 2.96319e-05
communities-10.txt communities-50div.txt: 3.16485e-05
communities-11.txt communities-100000div.txt: 1.17168e-05
communities-11.txt communities-10000div.txt: 2.42599e-05
communities-11.txt communities-1000div.txt: 2.81184e-05
communities-11.txt communities-100div.txt: 3.00082e-05
communities-11.txt communities-10div.txt: 3.64974e-05
communities-11.txt communities-200000div.txt: 1.17168e-05
communities-11.txt communities-20000div.txt: 2.42599e-05
communities-11.txt communities-2000div.txt: 2.81184e-05
communities-11.txt communities-200div.txt: 2.81184e-05
communities-11.txt communities-20div.txt: 3.5391e-05
communities-11.txt communities-500000div.txt: 1.17168e-05
communities-11.txt communities-50000div.txt: 1.17168e-05
communities-11.txt communities-5000div.txt: 2.42599e-05
communities-11.txt communities-500div.txt: 2.81184e-05
communities-11.txt communities-50div.txt: 3.00082e-05
communities-2.txt communities-100000div.txt: 1.76622e-05
communities-2.txt communities-10000div.txt: 3.8887e-05
communities-2.txt communities-1000div.txt: 4.3335e-05
communities-2.txt communities-100div.txt: 4.67294e-05
communities-2.txt communities-10div.txt: 5.41131e-05
communities-2.txt communities-200000div.txt: 1.76622e-05
communities-2.txt communities-20000div.txt: 3.8887e-05
communities-2.txt communities-2000div.txt: 4.3335e-05
communities-2.txt communities-200div.txt: 4.3335e-05
communities-2.txt communities-20div.txt: 5.35681e-05
communities-2.txt communities-500000div.txt: 1.76622e-05
communities-2.txt communities-50000div.txt: 1.76622e-05
communities-2.txt communities-5000div.txt: 3.8887e-05
communities-2.txt communities-500div.txt: 4.3335e-05
communities-2.txt communities-50div.txt: 4.67294e-05
communities-3.txt communities-100000div.txt: 1.75072e-05
communities-3.txt communities-10000div.txt: 3.86255e-05
communities-3.txt communities-1000div.txt: 4.29688e-05
communities-3.txt communities-100div.txt: 4.63036e-05
communities-3.txt communities-10div.txt: 5.35817e-05
communities-3.txt communities-200000div.txt: 1.75072e-05
communities-3.txt communities-20000div.txt: 3.86255e-05
communities-3.txt communities-2000div.txt: 4.29688e-05
communities-3.txt communities-200div.txt: 4.29688e-05
communities-3.txt communities-20div.txt: 5.30439e-05
communities-3.txt communities-500000div.txt: 1.75072e-05
communities-3.txt communities-50000div.txt: 1.75072e-05
communities-3.txt communities-5000div.txt: 3.86255e-05
communities-3.txt communities-500div.txt: 4.29688e-05
communities-3.txt communities-50div.txt: 4.63036e-05
communities-4.txt communities-100000div.txt: 1.7389e-05
communities-4.txt communities-10000div.txt: 3.789e-05
communities-4.txt communities-1000div.txt: 4.21932e-05
communities-4.txt communities-100div.txt: 4.54603e-05
communities-4.txt communities-10div.txt: 5.22613e-05
communities-4.txt communities-200000div.txt: 1.7389e-05
communities-4.txt communities-20000div.txt: 3.789e-05
communities-4.txt communities-2000div.txt: 4.21932e-05
communities-4.txt communities-200div.txt: 4.21932e-05
communities-4.txt communities-20div.txt: 5.1735e-05
communities-4.txt communities-500000div.txt: 1.7389e-05
communities-4.txt communities-50000div.txt: 1.7389e-05
communities-4.txt communities-5000div.txt: 3.789e-05
communities-4.txt communities-500div.txt: 4.21932e-05
communities-4.txt communities-50div.txt: 4.54603e-05
communities-5.txt communities-100000div.txt: 1.69913e-05
communities-5.txt communities-10000div.txt: 3.69832e-05
communities-5.txt communities-1000div.txt: 4.12906e-05
communities-5.txt communities-100div.txt: 4.44325e-05
communities-5.txt communities-10div.txt: 5.13078e-05
communities-5.txt communities-200000div.txt: 1.69913e-05
communities-5.txt communities-20000div.txt: 3.69832e-05
communities-5.txt communities-2000div.txt: 4.12906e-05
communities-5.txt communities-200div.txt: 4.12906e-05
communities-5.txt communities-20div.txt: 5.08174e-05
communities-5.txt communities-500000div.txt: 1.69913e-05
communities-5.txt communities-50000div.txt: 1.69913e-05
communities-5.txt communities-5000div.txt: 3.69832e-05
communities-5.txt communities-500div.txt: 4.12906e-05
communities-5.txt communities-50div.txt: 4.44325e-05
communities-6.txt communities-100000div.txt: 1.63261e-05
communities-6.txt communities-10000div.txt: 3.54701e-05
communities-6.txt communities-1000div.txt: 4.00976e-05
communities-6.txt communities-100div.txt: 4.3105e-05
communities-6.txt communities-10div.txt: 4.9687e-05
communities-6.txt communities-200000div.txt: 1.63261e-05
communities-6.txt communities-20000div.txt: 3.54701e-05
communities-6.txt communities-2000div.txt: 4.00976e-05
communities-6.txt communities-200div.txt: 4.00976e-05
communities-6.txt communities-20div.txt: 4.92249e-05
communities-6.txt communities-500000div.txt: 1.63261e-05
communities-6.txt communities-50000div.txt: 1.63261e-05
communities-6.txt communities-5000div.txt: 3.54701e-05
communities-6.txt communities-500div.txt: 4.00976e-05
communities-6.txt communities-50div.txt: 4.3105e-05
communities-7.txt communities-100000div.txt: 1.55061e-05
communities-7.txt communities-10000div.txt: 3.35598e-05
communities-7.txt communities-1000div.txt: 3.82635e-05
communities-7.txt communities-100div.txt: 4.10596e-05
communities-7.txt communities-10div.txt: 4.77681e-05
communities-7.txt communities-200000div.txt: 1.55061e-05
communities-7.txt communities-20000div.txt: 3.35598e-05
communities-7.txt communities-2000div.txt: 3.82635e-05
communities-7.txt communities-200div.txt: 3.82635e-05
communities-7.txt communities-20div.txt: 4.73192e-05
communities-7.txt communities-500000div.txt: 1.55061e-05
communities-7.txt communities-50000div.txt: 1.55061e-05
communities-7.txt communities-5000div.txt: 3.35598e-05
communities-7.txt communities-500div.txt: 3.82635e-05
communities-7.txt communities-50div.txt: 4.10596e-05
communities-8.txt communities-100000div.txt: 1.43447e-05
communities-8.txt communities-10000div.txt: 3.07621e-05
communities-8.txt communities-1000div.txt: 3.52696e-05
communities-8.txt communities-100div.txt: 3.77989e-05
communities-8.txt communities-10div.txt: 4.41047e-05
communities-8.txt communities-200000div.txt: 1.43447e-05
communities-8.txt communities-20000div.txt: 3.07621e-05
communities-8.txt communities-2000div.txt: 3.52696e-05
communities-8.txt communities-200div.txt: 3.52696e-05
communities-8.txt communities-20div.txt: 4.36858e-05
