LLP with Faststep
communities-0.txt communities-100000div.txt: 0.138308
communities-0.txt communities-10000div.txt: 0.281118
communities-0.txt communities-1000div.txt: 0.437063
communities-0.txt communities-100div.txt: 0.630265
communities-0.txt communities-10div.txt: 0.769639
communities-0.txt communities-200000div.txt: 0.0980733
communities-0.txt communities-20000div.txt: 0.230754
communities-0.txt communities-2000div.txt: 0.384841
communities-0.txt communities-200div.txt: 0.588531
communities-0.txt communities-20div.txt: 0.724112
communities-0.txt communities-500000div.txt: 0.0297873
communities-0.txt communities-50000div.txt: 0.182861
communities-0.txt communities-5000div.txt: 0.332728
communities-0.txt communities-500div.txt: 0.489343
communities-0.txt communities-50div.txt: 0.671357
communities-0.txt communities-5div.txt: 0.791142
communities-1.txt communities-100000div.txt: 0.154704
communities-1.txt communities-10000div.txt: 0.319154
communities-1.txt communities-1000div.txt: 0.48915
communities-1.txt communities-100div.txt: 0.678927
communities-1.txt communities-10div.txt: 0.809824
communities-1.txt communities-200000div.txt: 0.107823
communities-1.txt communities-20000div.txt: 0.261846
communities-1.txt communities-2000div.txt: 0.43381
communities-1.txt communities-200div.txt: 0.639314
communities-1.txt communities-20div.txt: 0.767155
communities-1.txt communities-500000div.txt: 0.0308734
communities-1.txt communities-50000div.txt: 0.206543
communities-1.txt communities-5000div.txt: 0.376855
communities-1.txt communities-500div.txt: 0.542559
communities-1.txt communities-50div.txt: 0.717646
communities-1.txt communities-5div.txt: 0.829992
communities-10.txt communities-100000div.txt: 0.230876
communities-10.txt communities-10000div.txt: 0.426084
communities-10.txt communities-1000div.txt: 0.591897
communities-10.txt communities-100div.txt: 0.761387
communities-10.txt communities-10div.txt: 0.877417
communities-10.txt communities-200000div.txt: 0.164832
communities-10.txt communities-20000div.txt: 0.363457
communities-10.txt communities-2000div.txt: 0.540314
communities-10.txt communities-200div.txt: 0.726383
communities-10.txt communities-20div.txt: 0.839492
communities-10.txt communities-500000div.txt: 0.0476084
communities-10.txt communities-50000div.txt: 0.297922
communities-10.txt communities-5000div.txt: 0.485084
communities-10.txt communities-500div.txt: 0.640323
communities-10.txt communities-50div.txt: 0.795627
communities-10.txt communities-5div.txt: 0.895388
communities-11.txt communities-100000div.txt: 0.243624
communities-11.txt communities-10000div.txt: 0.439225
communities-11.txt communities-1000div.txt: 0.602858
communities-11.txt communities-100div.txt: 0.769925
communities-11.txt communities-10div.txt: 0.884439
communities-11.txt communities-200000div.txt: 0.175521
communities-11.txt communities-20000div.txt: 0.377095
communities-11.txt communities-2000div.txt: 0.552014
communities-11.txt communities-200div.txt: 0.735406
communities-11.txt communities-20div.txt: 0.846994
communities-11.txt communities-500000div.txt: 0.0512005
communities-11.txt communities-50000div.txt: 0.311542
communities-11.txt communities-5000div.txt: 0.497541
communities-11.txt communities-500div.txt: 0.650576
communities-11.txt communities-50div.txt: 0.803703
communities-11.txt communities-5div.txt: 0.902188
communities-2.txt communities-100000div.txt: 0.154799
communities-2.txt communities-10000div.txt: 0.320138
communities-2.txt communities-1000div.txt: 0.491422
communities-2.txt communities-100div.txt: 0.681336
communities-2.txt communities-10div.txt: 0.811842
communities-2.txt communities-200000div.txt: 0.107792
communities-2.txt communities-20000div.txt: 0.26245
communities-2.txt communities-2000div.txt: 0.435688
communities-2.txt communities-200div.txt: 0.641815
communities-2.txt communities-20div.txt: 0.76931
communities-2.txt communities-500000div.txt: 0.0308486
communities-2.txt communities-50000div.txt: 0.206863
communities-2.txt communities-5000div.txt: 0.378251
communities-2.txt communities-500div.txt: 0.54505
communities-2.txt communities-50div.txt: 0.719953
communities-2.txt communities-5div.txt: 0.831946
communities-3.txt communities-100000div.txt: 0.156182
communities-3.txt communities-10000div.txt: 0.323625
communities-3.txt communities-1000div.txt: 0.496527
communities-3.txt communities-100div.txt: 0.685888
communities-3.txt communities-10div.txt: 0.815587
communities-3.txt communities-200000div.txt: 0.108672
communities-3.txt communities-20000div.txt: 0.26518
communities-3.txt communities-2000div.txt: 0.440481
communities-3.txt communities-200div.txt: 0.646589
communities-3.txt communities-20div.txt: 0.773319
communities-3.txt communities-500000div.txt: 0.0310404
communities-3.txt communities-50000div.txt: 0.20891
communities-3.txt communities-5000div.txt: 0.382486
communities-3.txt communities-500div.txt: 0.550182
communities-3.txt communities-50div.txt: 0.724266
communities-3.txt communities-5div.txt: 0.835569
communities-4.txt communities-100000div.txt: 0.158574
communities-4.txt communities-10000div.txt: 0.328707
communities-4.txt communities-1000div.txt: 0.503195
communities-4.txt communities-100div.txt: 0.691548
communities-4.txt communities-10div.txt: 0.820228
communities-4.txt communities-200000div.txt: 0.110301
communities-4.txt communities-20000div.txt: 0.26927
communities-4.txt communities-2000div.txt: 0.446992
communities-4.txt communities-200div.txt: 0.652545
communities-4.txt communities-20div.txt: 0.778291
communities-4.txt communities-500000div.txt: 0.031449
communities-4.txt communities-50000div.txt: 0.21204
communities-4.txt communities-5000div.txt: 0.388486
communities-4.txt communities-500div.txt: 0.556716
communities-4.txt communities-50div.txt: 0.729627
communities-4.txt communities-5div.txt: 0.840056
communities-5.txt communities-100000div.txt: 0.162914
communities-5.txt communities-10000div.txt: 0.337391
communities-5.txt communities-1000div.txt: 0.512876
communities-5.txt communities-100div.txt: 0.699484
communities-5.txt communities-10div.txt: 0.826722
communities-5.txt communities-200000div.txt: 0.113313
communities-5.txt communities-20000div.txt: 0.276619
communities-5.txt communities-2000div.txt: 0.456785
communities-5.txt communities-200div.txt: 0.660923
communities-5.txt communities-20div.txt: 0.785248
communities-5.txt communities-500000div.txt: 0.0323386
communities-5.txt communities-50000div.txt: 0.217887
communities-5.txt communities-5000div.txt: 0.397959
communities-5.txt communities-500div.txt: 0.566044
communities-5.txt communities-50div.txt: 0.737133
communities-5.txt communities-5div.txt: 0.846336
communities-6.txt communities-100000div.txt: 0.169604
communities-6.txt communities-10000div.txt: 0.34948
communities-6.txt communities-1000div.txt: 0.525071
communities-6.txt communities-100div.txt: 0.709184
communities-6.txt communities-10div.txt: 0.834648
communities-6.txt communities-200000div.txt: 0.11801
communities-6.txt communities-20000div.txt: 0.287418
communities-6.txt communities-2000div.txt: 0.469408
communities-6.txt communities-200div.txt: 0.671175
communities-6.txt communities-20div.txt: 0.793737
communities-6.txt communities-500000div.txt: 0.0337077
communities-6.txt communities-50000div.txt: 0.226758
communities-6.txt communities-5000div.txt: 0.410639
communities-6.txt communities-500div.txt: 0.577607
communities-6.txt communities-50div.txt: 0.746296
communities-6.txt communities-5div.txt: 0.854001
communities-7.txt communities-100000div.txt: 0.179649
communities-7.txt communities-10000div.txt: 0.365154
communities-7.txt communities-1000div.txt: 0.539564
communities-7.txt communities-100div.txt: 0.720582
communities-7.txt communities-10div.txt: 0.843967
communities-7.txt communities-200000div.txt: 0.125026
communities-7.txt communities-20000div.txt: 0.302224
communities-7.txt communities-2000div.txt: 0.484662
communities-7.txt communities-200div.txt: 0.683231
communities-7.txt communities-20div.txt: 0.803716
communities-7.txt communities-500000div.txt: 0.0356754
communities-7.txt communities-50000div.txt: 0.239601
communities-7.txt communities-5000div.txt: 0.426378
communities-7.txt communities-500div.txt: 0.591277
communities-7.txt communities-50div.txt: 0.757062
communities-7.txt communities-5div.txt: 0.863015
communities-8.txt communities-100000div.txt: 0.195508
communities-8.txt communities-10000div.txt: 0.385877
communities-8.txt communities-1000div.txt: 0.557738
communities-8.txt communities-100div.txt: 0.73477
communities-8.txt communities-10div.txt: 0.855577
communities-8.txt communities-200000div.txt: 0.136683
communities-8.txt communities-20000div.txt: 0.322656
communities-8.txt communities-2000div.txt: 0.503938
communities-8.txt communities-200div.txt: 0.698241
communities-8.txt communities-20div.txt: 0.816141
communities-8.txt communities-500000div.txt: 0.0390226
communities-8.txt communities-50000div.txt: 0.258496
communities-8.txt communities-5000div.txt: 0.446586
communities-8.txt communities-500div.txt: 0.608333
communities-8.txt communities-50div.txt: 0.770464
communities-8.txt communities-5div.txt: 0.874248
communities-9.txt communities-100000div.txt: 0.213789
communities-9.txt communities-10000div.txt: 0.407523
communities-9.txt communities-1000div.txt: 0.576273
communities-9.txt communities-100div.txt: 0.749205
communities-9.txt communities-10div.txt: 0.867413
communities-9.txt communities-200000div.txt: 0.150867
communities-9.txt communities-20000div.txt: 0.344435
communities-9.txt communities-2000div.txt: 0.523652
communities-9.txt communities-200div.txt: 0.713508
communities-9.txt communities-20div.txt: 0.8288
communities-9.txt communities-500000div.txt: 0.043186
communities-9.txt communities-50000div.txt: 0.279273
communities-9.txt communities-5000div.txt: 0.467408
communities-9.txt communities-500div.txt: 0.625693
communities-9.txt communities-50div.txt: 0.784109
communities-9.txt communities-5div.txt: 0.885703
LLP with Louvain
communities-0.txt communities-0.txt: 0.862915
communities-0.txt communities-1.txt: 0.908963
communities-0.txt communities-2.txt: 0.782801
communities-0.txt communities-3.txt: 0.688664
communities-0.txt communities-4.txt: 0.678324
communities-0.txt communities-5.txt: 0.678181
communities-1.txt communities-0.txt: 0.897403
communities-1.txt communities-1.txt: 0.929999
communities-1.txt communities-2.txt: 0.760169
communities-1.txt communities-3.txt: 0.659739
communities-1.txt communities-4.txt: 0.649328
communities-1.txt communities-5.txt: 0.649188
communities-10.txt communities-0.txt: 0.955686
communities-10.txt communities-1.txt: 0.89949
communities-10.txt communities-2.txt: 0.708818
communities-10.txt communities-3.txt: 0.609726
communities-10.txt communities-4.txt: 0.599677
communities-10.txt communities-5.txt: 0.599543
communities-11.txt communities-0.txt: 0.961768
communities-11.txt communities-1.txt: 0.894618
communities-11.txt communities-2.txt: 0.703438
communities-11.txt communities-3.txt: 0.604676
communities-11.txt communities-4.txt: 0.594659
communities-11.txt communities-5.txt: 0.594526
communities-2.txt communities-0.txt: 0.899141
communities-2.txt communities-1.txt: 0.93044
communities-2.txt communities-2.txt: 0.758853
communities-2.txt communities-3.txt: 0.658275
communities-2.txt communities-4.txt: 0.647873
communities-2.txt communities-5.txt: 0.647733
communities-3.txt communities-0.txt: 0.902362
communities-3.txt communities-1.txt: 0.930512
communities-3.txt communities-2.txt: 0.756194
communities-3.txt communities-3.txt: 0.655418
communities-3.txt communities-4.txt: 0.645029
communities-3.txt communities-5.txt: 0.64489
communities-4.txt communities-0.txt: 0.906352
communities-4.txt communities-1.txt: 0.929763
communities-4.txt communities-2.txt: 0.752739
communities-4.txt communities-3.txt: 0.652026
communities-4.txt communities-4.txt: 0.641662
communities-4.txt communities-5.txt: 0.641523
communities-5.txt communities-0.txt: 0.91194
communities-5.txt communities-1.txt: 0.928119
communities-5.txt communities-2.txt: 0.747922
communities-5.txt communities-3.txt: 0.647154
communities-5.txt communities-4.txt: 0.636816
communities-5.txt communities-5.txt: 0.636677
communities-6.txt communities-0.txt: 0.918762
communities-6.txt communities-1.txt: 0.925076
communities-6.txt communities-2.txt: 0.741909
communities-6.txt communities-3.txt: 0.641245
communities-6.txt communities-4.txt: 0.63094
communities-6.txt communities-5.txt: 0.630802
communities-7.txt communities-0.txt: 0.926791
communities-7.txt communities-1.txt: 0.92057
communities-7.txt communities-2.txt: 0.734787
communities-7.txt communities-3.txt: 0.634303
communities-7.txt communities-4.txt: 0.624051
communities-7.txt communities-5.txt: 0.623914
communities-8.txt communities-0.txt: 0.936805
communities-8.txt communities-1.txt: 0.914041
communities-8.txt communities-2.txt: 0.725807
communities-8.txt communities-3.txt: 0.625708
communities-8.txt communities-4.txt: 0.615525
