LLP with Faststep
communities-0.txt communities-100000div.txt: 1.13574e-05
communities-0.txt communities-10000div.txt: 1.13574e-05
communities-0.txt communities-1000div.txt: 1.1366e-05
communities-0.txt communities-100div.txt: 1.1366e-05
communities-0.txt communities-10div.txt: 1.1366e-05
communities-0.txt communities-200000div.txt: 1.13574e-05
communities-0.txt communities-20000div.txt: 1.13574e-05
communities-0.txt communities-2000div.txt: 1.13634e-05
communities-0.txt communities-200div.txt: 1.1366e-05
communities-0.txt communities-20div.txt: 1.1366e-05
communities-0.txt communities-500000div.txt: 1.13574e-05
communities-0.txt communities-50000div.txt: 1.13574e-05
communities-0.txt communities-5000div.txt: 1.13634e-05
communities-0.txt communities-500div.txt: 1.1366e-05
communities-0.txt communities-50div.txt: 1.1366e-05
communities-1.txt communities-100000div.txt: 5.63704e-06
communities-1.txt communities-10000div.txt: 5.63704e-06
communities-1.txt communities-1000div.txt: 5.69338e-06
communities-1.txt communities-100div.txt: 5.70135e-06
communities-1.txt communities-10div.txt: 5.70135e-06
communities-1.txt communities-200000div.txt: 5.63704e-06
communities-1.txt communities-20000div.txt: 5.63704e-06
communities-1.txt communities-2000div.txt: 5.75346e-06
communities-1.txt communities-200div.txt: 5.70109e-06
communities-1.txt communities-20div.txt: 5.70135e-06
communities-1.txt communities-500000div.txt: 5.63704e-06
communities-1.txt communities-50000div.txt: 5.63704e-06
communities-1.txt communities-5000div.txt: 5.75346e-06
communities-1.txt communities-500div.txt: 5.69338e-06
communities-1.txt communities-50div.txt: 5.70135e-06
communities-10.txt communities-100000div.txt: 2.83465e-06
communities-10.txt communities-10000div.txt: 2.83465e-06
communities-10.txt communities-1000div.txt: 1.10692e-05
communities-10.txt communities-100div.txt: 1.40995e-05
communities-10.txt communities-10div.txt: 1.53541e-05
communities-10.txt communities-200000div.txt: 2.83465e-06
communities-10.txt communities-20000div.txt: 2.83465e-06
communities-10.txt communities-2000div.txt: 4.11313e-06
communities-10.txt communities-200div.txt: 1.29832e-05
communities-10.txt communities-20div.txt: 1.40995e-05
communities-10.txt communities-500000div.txt: 2.83465e-06
communities-10.txt communities-50000div.txt: 2.83465e-06
communities-10.txt communities-5000div.txt: 4.11313e-06
communities-10.txt communities-500div.txt: 1.10692e-05
communities-10.txt communities-50div.txt: 1.40995e-05
communities-11.txt communities-100000div.txt: 2.55707e-06
communities-11.txt communities-10000div.txt: 2.55707e-06
communities-11.txt communities-1000div.txt: 1.05038e-05
communities-11.txt communities-100div.txt: 1.35584e-05
communities-11.txt communities-10div.txt: 1.48326e-05
communities-11.txt communities-200000div.txt: 2.55707e-06
communities-11.txt communities-20000div.txt: 2.55707e-06
communities-11.txt communities-2000div.txt: 3.72611e-06
communities-11.txt communities-200div.txt: 1.25298e-05
communities-11.txt communities-20div.txt: 1.35584e-05
communities-11.txt communities-500000div.txt: 2.55707e-06
communities-11.txt communities-50000div.txt: 2.55707e-06
communities-11.txt communities-5000div.txt: 3.72611e-06
communities-11.txt communities-500div.txt: 1.05038e-05
communities-11.txt communities-50div.txt: 1.35584e-05
communities-2.txt communities-100000div.txt: 5.78403e-06
communities-2.txt communities-10000div.txt: 5.78403e-06
communities-2.txt communities-1000div.txt: 6.14427e-06
communities-2.txt communities-100div.txt: 6.16879e-06
communities-2.txt communities-10div.txt: 6.16879e-06
communities-2.txt communities-200000div.txt: 5.78403e-06
communities-2.txt communities-20000div.txt: 5.78403e-06
communities-2.txt communities-2000div.txt: 6.10349e-06
communities-2.txt communities-200div.txt: 6.1677e-06
communities-2.txt communities-20div.txt: 6.16879e-06
communities-2.txt communities-500000div.txt: 5.78403e-06
communities-2.txt communities-50000div.txt: 5.78403e-06
communities-2.txt communities-5000div.txt: 6.10349e-06
communities-2.txt communities-500div.txt: 6.14427e-06
communities-2.txt communities-50div.txt: 6.16879e-06
communities-3.txt communities-100000div.txt: 5.49431e-06
communities-3.txt communities-10000div.txt: 5.49431e-06
communities-3.txt communities-1000div.txt: 6.40591e-06
communities-3.txt communities-100div.txt: 6.45945e-06
communities-3.txt communities-10div.txt: 6.45945e-06
communities-3.txt communities-200000div.txt: 5.49431e-06
communities-3.txt communities-20000div.txt: 5.49431e-06
communities-3.txt communities-2000div.txt: 6.07485e-06
communities-3.txt communities-200div.txt: 6.45574e-06
communities-3.txt communities-20div.txt: 6.45945e-06
communities-3.txt communities-500000div.txt: 5.49431e-06
communities-3.txt communities-50000div.txt: 5.49431e-06
communities-3.txt communities-5000div.txt: 6.07485e-06
communities-3.txt communities-500div.txt: 6.40591e-06
communities-3.txt communities-50div.txt: 6.45945e-06
communities-4.txt communities-100000div.txt: 5.32698e-06
communities-4.txt communities-10000div.txt: 5.32698e-06
communities-4.txt communities-1000div.txt: 6.9709e-06
communities-4.txt communities-100div.txt: 7.07601e-06
communities-4.txt communities-10div.txt: 7.07601e-06
communities-4.txt communities-200000div.txt: 5.32698e-06
communities-4.txt communities-20000div.txt: 5.32698e-06
communities-4.txt communities-2000div.txt: 6.27415e-06
communities-4.txt communities-200div.txt: 7.06936e-06
communities-4.txt communities-20div.txt: 7.07601e-06
communities-4.txt communities-500000div.txt: 5.32698e-06
communities-4.txt communities-50000div.txt: 5.32698e-06
communities-4.txt communities-5000div.txt: 6.27415e-06
communities-4.txt communities-500div.txt: 6.9709e-06
communities-4.txt communities-50div.txt: 7.07601e-06
communities-5.txt communities-100000div.txt: 5.0024e-06
communities-5.txt communities-10000div.txt: 5.0024e-06
communities-5.txt communities-1000div.txt: 7.48376e-06
communities-5.txt communities-100div.txt: 7.84714e-06
communities-5.txt communities-10div.txt: 7.8796e-06
communities-5.txt communities-200000div.txt: 5.0024e-06
communities-5.txt communities-20000div.txt: 5.0024e-06
communities-5.txt communities-2000div.txt: 6.27179e-06
communities-5.txt communities-200div.txt: 7.72987e-06
communities-5.txt communities-20div.txt: 7.84714e-06
communities-5.txt communities-500000div.txt: 5.0024e-06
communities-5.txt communities-50000div.txt: 5.0024e-06
communities-5.txt communities-5000div.txt: 6.27179e-06
communities-5.txt communities-500div.txt: 7.48376e-06
communities-5.txt communities-50div.txt: 7.84714e-06
communities-6.txt communities-100000div.txt: 4.5967e-06
communities-6.txt communities-10000div.txt: 4.5967e-06
communities-6.txt communities-1000div.txt: 8.51329e-06
communities-6.txt communities-100div.txt: 9.38485e-06
communities-6.txt communities-10div.txt: 9.5781e-06
communities-6.txt communities-200000div.txt: 4.5967e-06
communities-6.txt communities-20000div.txt: 4.5967e-06
communities-6.txt communities-2000div.txt: 6.08491e-06
communities-6.txt communities-200div.txt: 8.99226e-06
communities-6.txt communities-20div.txt: 9.38485e-06
communities-6.txt communities-500000div.txt: 4.5967e-06
communities-6.txt communities-50000div.txt: 4.5967e-06
communities-6.txt communities-5000div.txt: 6.08491e-06
communities-6.txt communities-500div.txt: 8.51329e-06
communities-6.txt communities-50div.txt: 9.38485e-06
communities-7.txt communities-100000div.txt: 4.17779e-06
communities-7.txt communities-10000div.txt: 4.17779e-06
communities-7.txt communities-1000div.txt: 1.07611e-05
communities-7.txt communities-100div.txt: 1.30768e-05
communities-7.txt communities-10div.txt: 1.37585e-05
communities-7.txt communities-200000div.txt: 4.17779e-06
communities-7.txt communities-20000div.txt: 4.17779e-06
communities-7.txt communities-2000div.txt: 5.84106e-06
communities-7.txt communities-200div.txt: 1.19779e-05
communities-7.txt communities-20div.txt: 1.30768e-05
communities-7.txt communities-500000div.txt: 4.17779e-06
communities-7.txt communities-50000div.txt: 4.17779e-06
communities-7.txt communities-5000div.txt: 5.84106e-06
communities-7.txt communities-500div.txt: 1.07611e-05
communities-7.txt communities-50div.txt: 1.30768e-05
communities-8.txt communities-100000div.txt: 3.74149e-06
communities-8.txt communities-10000div.txt: 3.74149e-06
communities-8.txt communities-1000div.txt: 1.13744e-05
communities-8.txt communities-100div.txt: 1.39633e-05
communities-8.txt communities-10div.txt: 1.48472e-05
communities-8.txt communities-200000div.txt: 3.74149e-06
communities-8.txt communities-20000div.txt: 3.74149e-06
communities-8.txt communities-2000div.txt: 5.37204e-06
communities-8.txt communities-200div.txt: 1.27834e-05
communities-8.txt communities-20div.txt: 1.39633e-05
communities-8.txt communities-500000div.txt: 3.74149e-06
communities-8.txt communities-50000div.txt: 3.74149e-06
communities-8.txt communities-5000div.txt: 5.37204e-06
communities-8.txt communities-500div.txt: 1.13744e-05
communities-8.txt communities-50div.txt: 1.39633e-05
communities-9.txt communities-100000div.txt: 3.27769e-06
communities-9.txt communities-10000div.txt: 3.27769e-06
communities-9.txt communities-1000div.txt: 1.14458e-05
communities-9.txt communities-100div.txt: 1.46332e-05
communities-9.txt communities-10div.txt: 1.57497e-05
communities-9.txt communities-200000div.txt: 3.27769e-06
communities-9.txt communities-20000div.txt: 3.27769e-06
communities-9.txt communities-2000div.txt: 4.72592e-06
communities-9.txt communities-200div.txt: 1.34163e-05
communities-9.txt communities-20div.txt: 1.46332e-05
communities-9.txt communities-500000div.txt: 3.27769e-06
communities-9.txt communities-50000div.txt: 3.27769e-06
communities-9.txt communities-5000div.txt: 4.72592e-06
communities-9.txt communities-500div.txt: 1.14458e-05
communities-9.txt communities-50div.txt: 1.46332e-05
LLP with Louvain
communities-0.txt communities-0.txt: 0.481097
communities-0.txt communities-1.txt: 0.884838
communities-0.txt communities-2.txt: 0.490582
communities-0.txt communities-3.txt: 0.358583
communities-0.txt communities-4.txt: 0.325968
communities-0.txt communities-5.txt: 0.32124
communities-0.txt communities-6.txt: 0.320459
communities-0.txt communities-7.txt: 0.320425
communities-1.txt communities-0.txt: 0.457715
communities-1.txt communities-1.txt: 0.659771
communities-1.txt communities-2.txt: 0.209493
communities-1.txt communities-3.txt: 0.12977
communities-1.txt communities-4.txt: 0.112814
communities-1.txt communities-5.txt: 0.110578
communities-1.txt communities-6.txt: 0.110216
communities-1.txt communities-7.txt: 0.1102
communities-10.txt communities-0.txt: 0.788531
communities-10.txt communities-1.txt: 0.257706
communities-10.txt communities-2.txt: 0.0788455
communities-10.txt communities-3.txt: 0.048545
communities-10.txt communities-4.txt: 0.0421728
communities-10.txt communities-5.txt: 0.0413354
communities-10.txt communities-6.txt: 0.0411999
communities-10.txt communities-7.txt: 0.0411942
communities-11.txt communities-0.txt: 0.818001
communities-11.txt communities-1.txt: 0.237078
communities-11.txt communities-2.txt: 0.071242
communities-11.txt communities-3.txt: 0.0437473
communities-11.txt communities-4.txt: 0.0379975
communities-11.txt communities-5.txt: 0.0372428
communities-11.txt communities-6.txt: 0.0371208
communities-11.txt communities-7.txt: 0.0371157
communities-2.txt communities-0.txt: 0.47742
communities-2.txt communities-1.txt: 0.624172
communities-2.txt communities-2.txt: 0.198722
communities-2.txt communities-3.txt: 0.123106
communities-2.txt communities-4.txt: 0.107018
communities-2.txt communities-5.txt: 0.104897
communities-2.txt communities-6.txt: 0.104553
communities-2.txt communities-7.txt: 0.104539
communities-3.txt communities-0.txt: 0.530155
communities-3.txt communities-1.txt: 0.554259
communities-3.txt communities-2.txt: 0.176135
communities-3.txt communities-3.txt: 0.109129
communities-3.txt communities-4.txt: 0.0948729
communities-3.txt communities-5.txt: 0.0929918
communities-3.txt communities-6.txt: 0.0926872
communities-3.txt communities-7.txt: 0.0926744
communities-4.txt communities-0.txt: 0.568077
communities-4.txt communities-1.txt: 0.505531
communities-4.txt communities-2.txt: 0.160593
communities-4.txt communities-3.txt: 0.0994844
communities-4.txt communities-4.txt: 0.0864889
communities-4.txt communities-5.txt: 0.0847741
communities-4.txt communities-6.txt: 0.0844963
communities-4.txt communities-7.txt: 0.0844846
communities-5.txt communities-0.txt: 0.607526
communities-5.txt communities-1.txt: 0.455575
communities-5.txt communities-2.txt: 0.144657
communities-5.txt communities-3.txt: 0.0896115
communities-5.txt communities-4.txt: 0.0779066
communities-5.txt communities-5.txt: 0.0763616
communities-5.txt communities-6.txt: 0.0761115
communities-5.txt communities-7.txt: 0.076101
communities-6.txt communities-0.txt: 0.644407
communities-6.txt communities-1.txt: 0.410478
communities-6.txt communities-2.txt: 0.130186
communities-6.txt communities-3.txt: 0.0806244
communities-6.txt communities-4.txt: 0.0700895
communities-6.txt communities-5.txt: 0.0686995
communities-6.txt communities-6.txt: 0.0684744
communities-6.txt communities-7.txt: 0.068465
communities-7.txt communities-0.txt: 0.678071
communities-7.txt communities-1.txt: 0.369384
communities-7.txt communities-2.txt: 0.117062
communities-7.txt communities-3.txt: 0.0725064
communities-7.txt communities-4.txt: 0.0630354
communities-7.txt communities-5.txt: 0.0617855
communities-7.txt communities-6.txt: 0.061583
communities-7.txt communities-7.txt: 0.0615745
communities-8.txt communities-0.txt: 0.712288
communities-8.txt communities-1.txt: 0.329651
communities-8.txt communities-2.txt: 0.10418
communities-8.txt communities-3.txt: 0.0644942
communities-8.txt communities-4.txt: 0.0560592
communities-8.txt communities-5.txt: 0.0549471
communities-8.txt communities-6.txt: 0.054767
communities-8.txt communities-7.txt: 0.0547594
communities-9.txt communities-0.txt: 0.749772
communities-9.txt communities-1.txt: 0.290396
communities-9.txt communities-2.txt: 0.0909922
communities-9.txt communities-3.txt: 0.0562266
communities-9.txt communities-4.txt: 0.0488645
