LLP with Faststep
communities-0.txt communities-100000div.txt: 0.00106478
communities-0.txt communities-10000div.txt: 0.00106478
communities-0.txt communities-1000div.txt: 0.00116365
communities-0.txt communities-100div.txt: 0.00119109
communities-0.txt communities-10div.txt: 0.00119108
communities-0.txt communities-200000div.txt: 0.00106478
communities-0.txt communities-20000div.txt: 0.00106478
communities-0.txt communities-2000div.txt: 0.00113583
communities-0.txt communities-200div.txt: 0.00119071
communities-0.txt communities-20div.txt: 0.00119109
communities-0.txt communities-500000div.txt: 0.00106478
communities-0.txt communities-50000div.txt: 0.00106478
communities-0.txt communities-5000div.txt: 0.00113583
communities-0.txt communities-500div.txt: 0.00116365
communities-0.txt communities-50div.txt: 0.00119109
communities-1.txt communities-100000div.txt: 0.00295896
communities-1.txt communities-10000div.txt: 0.00295896
communities-1.txt communities-1000div.txt: 0.00320679
communities-1.txt communities-100div.txt: 0.00322906
communities-1.txt communities-10div.txt: 0.00322905
communities-1.txt communities-200000div.txt: 0.00295896
communities-1.txt communities-20000div.txt: 0.00295896
communities-1.txt communities-2000div.txt: 0.00315853
communities-1.txt communities-200div.txt: 0.00322862
communities-1.txt communities-20div.txt: 0.00322906
communities-1.txt communities-500000div.txt: 0.00295896
communities-1.txt communities-50000div.txt: 0.00295896
communities-1.txt communities-5000div.txt: 0.00315853
communities-1.txt communities-500div.txt: 0.00320679
communities-1.txt communities-50div.txt: 0.00322906
communities-10.txt communities-100000div.txt: 0.00347575
communities-10.txt communities-10000div.txt: 0.00347575
communities-10.txt communities-1000div.txt: 0.00409379
communities-10.txt communities-100div.txt: 0.00413265
communities-10.txt communities-10div.txt: 0.00413468
communities-10.txt communities-200000div.txt: 0.00347575
communities-10.txt communities-20000div.txt: 0.00347575
communities-10.txt communities-2000div.txt: 0.0038697
communities-10.txt communities-200div.txt: 0.00412684
communities-10.txt communities-20div.txt: 0.00413265
communities-10.txt communities-500000div.txt: 0.00347575
communities-10.txt communities-50000div.txt: 0.00347575
communities-10.txt communities-5000div.txt: 0.0038697
communities-10.txt communities-500div.txt: 0.00409379
communities-10.txt communities-50div.txt: 0.00413265
communities-11.txt communities-100000div.txt: 0.00358386
communities-11.txt communities-10000div.txt: 0.00358386
communities-11.txt communities-1000div.txt: 0.00420846
communities-11.txt communities-100div.txt: 0.00424848
communities-11.txt communities-10div.txt: 0.00425049
communities-11.txt communities-200000div.txt: 0.00358386
communities-11.txt communities-20000div.txt: 0.00358386
communities-11.txt communities-2000div.txt: 0.00398045
communities-11.txt communities-200div.txt: 0.0042427
communities-11.txt communities-20div.txt: 0.00424848
communities-11.txt communities-500000div.txt: 0.00358386
communities-11.txt communities-50000div.txt: 0.00358386
communities-11.txt communities-5000div.txt: 0.00398045
communities-11.txt communities-500div.txt: 0.00420846
communities-11.txt communities-50div.txt: 0.00424848
communities-2.txt communities-100000div.txt: 0.00320494
communities-2.txt communities-10000div.txt: 0.00320494
communities-2.txt communities-1000div.txt: 0.00346141
communities-2.txt communities-100div.txt: 0.00348299
communities-2.txt communities-10div.txt: 0.00348298
communities-2.txt communities-200000div.txt: 0.00320494
communities-2.txt communities-20000div.txt: 0.00320494
communities-2.txt communities-2000div.txt: 0.00341005
communities-2.txt communities-200div.txt: 0.0034825
communities-2.txt communities-20div.txt: 0.00348299
communities-2.txt communities-500000div.txt: 0.00320494
communities-2.txt communities-50000div.txt: 0.00320494
communities-2.txt communities-5000div.txt: 0.00341005
communities-2.txt communities-500div.txt: 0.00346141
communities-2.txt communities-50div.txt: 0.00348299
communities-3.txt communities-100000div.txt: 0.00342937
communities-3.txt communities-10000div.txt: 0.00342937
communities-3.txt communities-1000div.txt: 0.0036983
communities-3.txt communities-100div.txt: 0.00371985
communities-3.txt communities-10div.txt: 0.00371985
communities-3.txt communities-200000div.txt: 0.00342937
communities-3.txt communities-20000div.txt: 0.00342937
communities-3.txt communities-2000div.txt: 0.00364115
communities-3.txt communities-200div.txt: 0.00371933
communities-3.txt communities-20div.txt: 0.00371985
communities-3.txt communities-500000div.txt: 0.00342937
communities-3.txt communities-50000div.txt: 0.00342937
communities-3.txt communities-5000div.txt: 0.00364115
communities-3.txt communities-500div.txt: 0.0036983
communities-3.txt communities-50div.txt: 0.00371985
communities-4.txt communities-100000div.txt: 0.00351881
communities-4.txt communities-10000div.txt: 0.00351881
communities-4.txt communities-1000div.txt: 0.00380658
communities-4.txt communities-100div.txt: 0.00382844
communities-4.txt communities-10div.txt: 0.00382844
communities-4.txt communities-200000div.txt: 0.00351881
communities-4.txt communities-20000div.txt: 0.00351881
communities-4.txt communities-2000div.txt: 0.00374233
communities-4.txt communities-200div.txt: 0.00382774
communities-4.txt communities-20div.txt: 0.00382844
communities-4.txt communities-500000div.txt: 0.00351881
communities-4.txt communities-50000div.txt: 0.00351881
communities-4.txt communities-5000div.txt: 0.00374233
communities-4.txt communities-500div.txt: 0.00380658
communities-4.txt communities-50div.txt: 0.00382844
communities-5.txt communities-100000div.txt: 0.00357786
communities-5.txt communities-10000div.txt: 0.00357786
communities-5.txt communities-1000div.txt: 0.00390199
communities-5.txt communities-100div.txt: 0.00392511
communities-5.txt communities-10div.txt: 0.00392563
communities-5.txt communities-200000div.txt: 0.00357786
communities-5.txt communities-20000div.txt: 0.00357786
communities-5.txt communities-2000div.txt: 0.00382687
communities-5.txt communities-200div.txt: 0.00392355
communities-5.txt communities-20div.txt: 0.00392511
communities-5.txt communities-500000div.txt: 0.00357786
